Experiment,T,t (min),mu0,mu1,mu2,mu3,C
0,24.99,5,931.30,271972.74,80540000.00,24562500000.00,0.102949
0,25,6.25,931.30,265806.60,76338769.18,22909923033.64,0.109626
0,25.01,7.516667,931.30,260578.96,73600214.23,21889306529.49,0.111909
0,25,8.766667,931.30,257980.54,72511117.27,20931086969.15,0.114528
0,25,10.03333,931.30,256707.85,71516169.83,20683513619.06,0.11592
0,25.01,11.28333,931.30,256470.92,70819822.02,20556956633.63,0.115726
0,25.01,12.55,931.30,255010.01,70298980.80,19855190114.15,0.117025
0,25.01,13.8,931.30,255312.06,70606844.78,20176624825.11,0.117563
0,24.99,15.06667,931.30,253220.38,68902365.37,19889040798.80,0.117397
0,25.01,16.31667,931.30,253281.19,69008336.09,19947358996.23,0.118911
0,25.01,17.58333,931.30,252913.73,69155315.55,19864697488.26,0.119778
0,25,18.83333,931.30,251604.59,68648171.78,19954811311.97,0.117625
0,25,20.1,931.30,251857.89,69544774.17,19427819287.94,0.119595
0,25,21.35,931.30,252656.86,68054955.63,19694229572.21,0.119155
0,25,22.61667,931.30,251467.36,68987458.69,19497806899.40,0.119289
0,25.01,23.88333,931.30,250808.54,67874490.38,19463431597.15,0.119403
0,25,25.13333,931.30,252186.36,68488264.16,19278632597.10,0.119501
0,24.99,26.4,931.30,251565.69,68424858.22,19408230245.79,0.118989
0,25,27.65,931.30,251967.10,67686304.04,19540941378.51,0.118465
0,24.99,28.91667,931.30,251876.16,68662593.93,19210941257.41,0.119728
0,24.99,30.18333,931.30,250790.42,68277573.01,19193385535.31,0.120385
0,24.99,31.43333,931.30,251222.30,68921801.43,19332618360.12,0.119838
0,25.01,32.7,931.30,250655.85,67522752.54,19318519787.42,0.119885
0,25.01,33.96667,931.30,252104.97,68173727.40,19151416921.20,0.120527
0,25,35.21667,931.30,250547.19,67805338.53,19294601042.90,0.120565
0,25.01,36.48333,931.30,251002.24,68120697.73,19284271693.29,0.120599
0,25.01,37.73333,931.30,250458.14,67757468.65,19275015477.33,0.12123
0,24.99,39,931.30,249917.44,68076965.41,19574734992.68,0.120659
0,24.99,40.26667,931.30,251387.33,68057795.06,19258670384.95,0.121285
0,25,41.53333,931.30,250351.28,68720643.02,19097515616.88,0.120709
0,25.01,42.78333,931.30,251325.10,67344083.94,19091093368.50,0.119529
0,25.01,44.05,931.30,250294.30,68009478.03,19546837602.37,0.12075
0,25,45.31667,931.30,251272.01,67995780.27,18925706870.39,0.12137
0,25.01,46.58333,931.30,251749.94,67983116.99,18920639084.91,0.118984
0,24.99,47.83333,931.30,251226.90,67971534.46,19069792873.96,0.120201
0,25.01,49.1,931.30,250705.22,68300437.90,19219149336.85,0.119615
0,25,50.36667,931.30,251187.77,67610746.22,19061307791.32,0.12023
0,25,51.63333,931.30,251170.20,68280761.44,19211188931.22,0.121445
0,25.01,52.9,931.30,250151.19,67932244.75,19361267545.69,0.120254
0,25,54.16667,931.30,250135.93,67924009.03,19204258708.34,0.119664
0,25.01,55.43333,931.30,250622.88,67576718.06,19508342830.00,0.120877
0,25,56.68333,931.30,249607.19,67909164.23,19198224504.31,0.119684
0,25,57.95,931.30,251098.21,67562861.66,19195464398.32,0.120295
0,25.01,59.23333,931.30,251587.35,67895908.55,19346379507.69,0.120905
0,25.01,60.51667,931.30,250573.71,67889828.11,19190365629.15,0.11971
0,25,61.78333,931.30,250563.21,68563016.04,19034563384.99,0.120921
0,25,63.06667,931.30,251555.38,67878771.37,19185872279.19,0.120327
0,24.99,64.36667,931.30,251044.66,67873606.96,19183773639.95,0.11913
0,25,65.65,931.30,250534.63,67868790.92,19181816639.06,0.119738
1,45,5,922.91,273905.00,82515000.00,23376375000.00,0.131007
1,44.98,6.25,922.91,261791.37,76383529.76,20684198679.32,0.140938
1,45.02,7.516667,922.91,257061.54,72890818.96,19546814686.22,0.146856
1,45,8.766667,922.91,255328.10,71084214.73,18777728409.69,0.149428
1,44.99,10.03333,922.91,250881.95,70601849.25,18278493109.51,0.150346
1,45,11.28333,922.91,250910.41,69440334.72,17761755691.05,0.150711
1,44.99,12.55,922.91,251315.82,69535586.98,17518467205.31,0.152286
1,45.02,13.8,922.91,247512.23,68751055.45,17864890138.21,0.152123
1,45.01,15.06667,922.91,248372.00,68407558.83,17200183776.57,0.152589
1,45.02,16.31667,922.91,247134.29,67801582.84,17092180044.96,0.155256
1,45.01,17.58333,922.91,248960.09,67585471.89,17176229080.41,0.152473
1,45,18.83333,922.91,245667.68,67074434.56,17447103339.00,0.153479
1,45,20.1,922.91,246878.10,67265648.71,17045365777.87,0.154449
1,45,21.35,922.91,247392.73,66473709.34,17166105815.28,0.156159
1,45,22.61667,922.91,247198.78,67041854.63,16614896854.55,0.153205
1,45.01,23.88333,922.91,247033.19,66618950.91,16748845960.19,0.153324
1,45,25.13333,922.91,245415.46,67213213.39,17056367730.89,0.154974
1,44.99,26.4,922.91,244554.24,66812964.10,17029267091.40,0.155063
1,45.01,27.65,922.91,245923.92,66422416.44,16837541642.95,0.155916
1,44.99,28.91667,922.91,245091.54,66705640.57,16985129534.04,0.156761
1,45,30.18333,922.91,245007.96,66660995.12,16798791118.66,0.155269
1,44.98,31.43333,922.91,247145.72,66621857.87,16950697511.33,0.156099
1,44.99,32.7,922.91,246342.00,66919393.50,16600787536.66,0.156147
1,45,33.96667,922.91,247018.88,66221980.89,16923135541.34,0.155413
1,45.02,35.21667,922.91,245492.67,66859227.14,16409249010.20,0.154674
1,45.02,36.48333,922.91,246180.53,66833319.32,17068326882.81,0.154709
1,45.02,37.73333,922.91,243928.43,66145365.71,16389796808.66,0.153962
1,45.01,39,922.91,244624.79,66456502.39,16882803995.30,0.154768
1,45.01,40.26667,922.91,245324.42,65772756.83,16707776736.42,0.155572
1,45.02,41.53333,922.91,246762.85,66087317.87,16366570127.91,0.157152
1,45.01,42.78333,922.91,245996.72,66403381.55,16861010616.77,0.156396
1,45,44.05,922.91,245232.82,66720383.56,16521122727.98,0.156416
1,45.01,45.31667,922.91,245942.54,66374677.95,16348765798.16,0.156435
1,45.01,46.58333,922.91,245918.55,66030160.10,16844027003.73,0.154895
1,45.01,47.83333,922.91,244425.66,65686856.66,16505815781.86,0.154132
1,44.98,49.1,922.91,245140.60,66671144.49,16501430019.62,0.155704
1,45,50.36667,922.91,245856.88,66329309.79,16663996215.28,0.154939
1,45.01,51.63333,922.91,246574.37,65988276.15,16660167013.79,0.154952
1,45.01,52.9,922.91,246557.71,65979525.07,16656597495.39,0.154964
1,45.01,54.16667,922.91,245806.94,65971353.48,16986329853.06,0.156532
1,45.01,55.43333,922.91,244322.09,66626662.79,16483646104.19,0.154206
1,44.99,56.68333,922.91,244308.75,66288083.83,16647265290.45,0.154995
1,45,57.95,922.91,245031.16,65949922.70,16810969821.77,0.156561
1,45.02,59.23333,922.91,245754.12,66606278.38,16475498306.71,0.155012
1,45.01,60.51667,922.91,245007.69,66600209.31,16473072687.68,0.155799
1,45.02,61.78333,922.91,246467.10,65931937.56,16969934697.36,0.157365
1,44.99,63.06667,922.91,244987.02,66257895.28,16801367138.78,0.155814
1,44.99,64.36667,922.91,244242.45,66584040.59,16799269899.38,0.1566
1,45,65.65,922.91,244968.39,66248006.43,16464695334.27,0.155828
2,34.99,5,908.26,272453.00,82640000.00,23276784000.00,0.124694
2,35,6.25,908.26,268617.63,79712846.22,22147119793.87,0.130368
2,34.98,7.516667,908.26,264611.44,77988381.32,21382117139.46,0.131622
2,35,8.766667,908.26,262741.66,76899284.71,20568814379.26,0.133216
2,35.01,10.03333,908.26,261962.36,76144759.02,20408894496.77,0.134985
2,35.01,11.28333,908.26,261556.74,75611008.77,20178439514.99,0.135761
2,34.99,12.55,908.26,260333.35,75584799.66,20005292318.93,0.135667
2,35.01,13.8,908.26,259282.77,74904927.14,20355657277.48,0.136785
2,35,15.06667,908.26,258861.10,75410244.03,19771368665.40,0.137134
2,35,16.31667,908.26,259564.24,74473281.67,19848687764.25,0.137408
2,35,17.58333,908.26,258771.00,75059707.28,19622882187.93,0.137634
2,35,18.83333,908.26,258546.98,74559994.37,19410612837.66,0.135761
2,34.99,20.1,908.26,258357.37,73340413.36,19364962531.92,0.137286
2,35.02,21.35,908.26,257683.01,73621503.97,19484113163.64,0.136041
2,34.98,22.61667,908.26,257546.85,73913979.83,19764809870.02,0.136838
2,35,23.88333,908.26,256914.05,74216719.64,19892653600.03,0.138309
2,34.99,25.13333,908.26,257330.03,73790672.37,19554991920.34,0.13839
2,35.01,26.4,908.26,257757.24,74109189.99,19533452603.05,0.137773
