Experiment,T,t (min),mu0,mu1,mu2,mu3,C
0,39.86,5,1478.010,22995.820,1800863.240,248516167.940,0.158615
0,39.87,6.25,2476.870,29829.740,1845571.770,277226550.110,0.158522
0,39.97,7.516667,3212.470,43794.120,2174393.980,309919651.300,0.159208
0,40.05,8.766667,4307.270,59977.040,2600815.530,320989566.220,0.156715
0,40.04,10.03333,6169.280,80927.940,3034353.120,379559438.520,0.159741
0,40.03,11.28333,6668.310,101419.130,4376639.220,438890660.770,0.157997
0,39.79,12.55,9700.000,146564.750,4849748.960,500647134.790,0.157008
0,39.41,13.8,10853.530,181455.800,6898135.940,565313681.700,0.155966
0,39,15.06667,15591.290,236505.010,7899952.020,651689618.470,0.157198
0,38.64,16.31667,19349.600,305700.180,11074251.040,781969130.750,0.158321
0,38.42,17.58333,24159.460,411456.360,14864510.150,973807756.030,0.156183
0,38.25,18.83333,27349.900,541285.980,18149353.390,1207587421.200,0.155505
0,38.17,20.1,35712.600,667783.910,23417389.140,1413748347.990,0.153948
0,38.13,21.35,41778.520,803665.950,25114332.490,1705027845.970,0.153890
0,38.09,22.61667,48204.870,862081.480,29579047.540,1922269062.560,0.154558
0,37.95,23.88333,57649.070,1098477.800,32651841.640,2236002822.590,0.150643
0,37.63,25.13333,67868.920,1140779.430,40220283.460,2380381371.470,0.152057
0,37.21,26.4,83413.440,1362519.400,48922921.580,2649878289.670,0.151134
0,36.81,27.65,96282.450,1318462.150,50589560.890,3077741010.640,0.149435
0,36.54,28.91667,110145.680,1640148.060,58249288.450,3373502056.750,0.147733
0,36.32,30.18333,136926.250,1903106.680,56327158.860,3565954286.860,0.147562
0,36.21,31.43333,131775.990,1874110.460,63334061.630,3718051074.630,0.146738
0,36.13,32.7,160564.270,2122159.070,64647535.890,4135988696.550,0.147459
0,35.87,33.96667,158671.400,2264750.590,74251836.150,4344697117.640,0.145320
0,35.44,35.21667,190421.960,2288841.460,84513212.500,4330442294.240,0.145366
0,35.02,36.48333,176802.750,2568126.220,82549401.790,4773161219.680,0.143206
0,34.69,37.73333,222288.480,2456796.520,79934947.390,5115295635.570,0.144644
0,34.42,39,249983.760,3037475.930,87545340.760,5210330342.660,0.143934
0,34.27,40.26667,230409.510,3046856.380,102825134.690,5014694479.040,0.141860
0,34.18,41.53333,231503.770,3027400.720,94826359.710,5723425809.930,0.141286
0,34.1,42.78333,284545.020,3641144.480,101837925.510,5317732505.680,0.141499
0,34.13,44.05,312428.070,3586690.460,100291016.090,5723017275.660,0.141782
0,33.98,45.31667,326045.720,3509807.810,102509771.390,5978821890.780,0.141413
0,33.65,46.58333,293608.390,3428698.590,104828871.410,6095978085.660,0.138935
0,33.23,47.83333,338557.670,3536496.910,103024408.040,6229467463.820,0.140593
0,32.85,49.1,370563.350,4239706.350,119840038.050,6383744110.650,0.137316
0,32.55,50.36667,386991.980,4201132.110,118677620.120,6068120509.550,0.137483
0,32.32,51.63333,366767.240,4149929.100,122104971.390,6381277112.610,0.138338
0,32.18,52.9,419495.320,3861507.500,120322306.080,6357223767.390,0.137160
0,32.11,54.16667,434788.920,4416788.780,128219390.520,6992232345.160,0.138094
0,32.09,55.43333,428660.890,4300279.940,141128053.560,6931723286.520,0.137040
0,32.07,56.68333,420157.340,5084432.170,132716304.500,7198603419.300,0.136051
0,32.02,57.95,388350.080,4942144.270,145284849.660,7281303286.710,0.135101
0,31.98,59.23333,486687.580,5026309.680,130717596.250,6996904995.470,0.136213
0,31.75,60.51667,430796.910,4866303.420,132326548.000,7069137819.500,0.135288
0,31.35,61.78333,465492.100,4462109.150,134302195.430,7525708523.920,0.135658
0,30.94,63.06667,526806.620,4824463.670,148217575.220,7270133625.980,0.134602
0,30.59,64.36667,444089.130,4695037.770,157252840.960,7590650258.130,0.132816
0,30.38,65.65,507997.220,5093578.050,154712101.520,8112658827.870,0.135042
0,30.2,66.95,522460.100,5502659.010,145737212.650,7660571635.560,0.132602
0,30.14,68.23333,482458.350,5628463.460,160701281.990,8171921985.350,0.132882
0,30.07,69.53333,549057.100,6028116.380,156936627.830,8075182705.220,0.131215
1,39.99,5,1534.310,20715.190,1676956.240,223640524.960,0.157918
1,40,6.25,2307.340,31871.310,2076895.660,256357735.700,0.158303
1,40.01,7.516667,2965.280,40983.250,2256301.240,309221028.290,0.157881
1,40,8.766667,3977.560,58745.340,2806841.440,330403779.810,0.158712
1,40,10.03333,5741.270,76570.770,3162906.670,391695550.980,0.157620
1,40.01,11.28333,6896.560,105629.530,4057220.150,433252835.100,0.157772
1,40.01,12.55,9058.320,131968.660,5237086.110,482239088.690,0.158522
1,40.01,13.8,11141.560,181946.180,6478157.630,537899170.310,0.157028
