# Experiment,T,t (min),mu0,mu1,mu2,mu3,C
0.000000000000000000e+00,2.498999999999999844e+01,5.000000000000000000e+00,9.312999999999999545e+02,2.719727399999999907e+05,8.054000000000000000e+07,2.456250000000000000e+10,1.064770987010016795e-01
0.000000000000000000e+00,2.500000000000000000e+01,6.250000000000000000e+00,9.312999999999999545e+02,2.658065999999999767e+05,7.633876918000000715e+07,2.290992303363999939e+10,1.131220932899636850e-01
0.000000000000000000e+00,2.501000000000000156e+01,7.516666999999999987e+00,9.312999999999999545e+02,2.605789599999999919e+05,7.360021423000000417e+07,2.188930652949000168e+10,1.153140716891331019e-01
0.000000000000000000e+00,2.500000000000000000e+01,8.766666999999999987e+00,9.312999999999999545e+02,2.579805400000000081e+05,7.251111726999999583e+07,2.093108696915000153e+10,1.178557800872279404e-01
0.000000000000000000e+00,2.500000000000000000e+01,1.003332999999999942e+01,9.312999999999999545e+02,2.567078500000000058e+05,7.151616982999999821e+07,2.068351361906000137e+10,1.192472437342575742e-01
0.000000000000000000e+00,2.501000000000000156e+01,1.128332999999999942e+01,9.312999999999999545e+02,2.564709200000000128e+05,7.081982201999999583e+07,2.055695663363000107e+10,1.190267712066395006e-01
0.000000000000000000e+00,2.501000000000000156e+01,1.255000000000000071e+01,9.312999999999999545e+02,2.550100100000000093e+05,7.029898079999999702e+07,1.985519011415000153e+10,1.202457402424225719e-01
0.000000000000000000e+00,2.501000000000000156e+01,1.380000000000000071e+01,9.312999999999999545e+02,2.553120599999999977e+05,7.060684478000000119e+07,2.017662482511000061e+10,1.208523926780954993e-01
0.000000000000000000e+00,2.498999999999999844e+01,1.506667000000000023e+01,9.312999999999999545e+02,2.532203800000000047e+05,6.890236537000000477e+07,1.988904079879999924e+10,1.206336386497357804e-01
0.000000000000000000e+00,2.501000000000000156e+01,1.631666999999999845e+01,9.312999999999999545e+02,2.532811900000000023e+05,6.900833609000000358e+07,1.994735899622999954e+10,1.221992582876094413e-01
0.000000000000000000e+00,2.501000000000000156e+01,1.758333000000000013e+01,9.312999999999999545e+02,2.529137300000000105e+05,6.915531554999999702e+07,1.986469748825999832e+10,1.230761297452244579e-01
0.000000000000000000e+00,2.500000000000000000e+01,1.883333000000000013e+01,9.312999999999999545e+02,2.516045899999999965e+05,6.864817178000000119e+07,1.995481131197000122e+10,1.208789452170412199e-01
0.000000000000000000e+00,2.500000000000000000e+01,2.010000000000000142e+01,9.312999999999999545e+02,2.518578900000000140e+05,6.954477417000000179e+07,1.942781928793999863e+10,1.228137176595258673e-01
0.000000000000000000e+00,2.500000000000000000e+01,2.135000000000000142e+01,9.312999999999999545e+02,2.526568599999999860e+05,6.805495562999999523e+07,1.969422957220999908e+10,1.224070512551440337e-01
0.000000000000000000e+00,2.500000000000000000e+01,2.261666999999999916e+01,9.312999999999999545e+02,2.514673599999999860e+05,6.898745868999999762e+07,1.949780689940000153e+10,1.225113601350672349e-01
